fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,fg2,fga2,fg2_pct,result
40,80,0.5,13,34,0.382,24,28,0.857,4,27,31,16,8,3,14,25,27,46,0.5869565217391305,0
46,82,0.561,12,35,0.343,22,28,0.786,6,30,36,24,8,3,11,24,34,47,0.723404255319149,1
40,94,0.426,10,40,0.25,19,25,0.76,9,39,48,23,12,4,22,18,30,54,0.5555555555555556,0
45,99,0.455,16,45,0.356,17,23,0.739,11,37,48,31,11,4,18,23,29,54,0.5370370370370371,1
42,98,0.429,9,35,0.257,14,15,0.933,15,39,54,25,4,3,16,20,33,63,0.5238095238095238,0
45,90,0.5,7,25,0.28,20,24,0.833,4,34,38,30,12,5,9,18,38,65,0.5846153846153846,1
50,102,0.49,12,26,0.462,18,25,0.72,21,40,61,31,9,4,13,21,38,76,0.5,1
40,89,0.449,10,33,0.303,18,24,0.75,9,30,39,22,10,10,16,25,30,56,0.5357142857142857,0
42,86,0.488,11,30,0.367,14,19,0.737,10,38,48,21,5,5,18,24,31,56,0.5535714285714286,0
40,94,0.426,14,38,0.368,19,24,0.792,12,29,41,31,11,4,13,21,26,56,0.4642857142857143,1
42,92,0.457,11,31,0.355,19,24,0.792,14,39,53,21,5,10,17,19,31,61,0.5081967213114754,1
39,97,0.402,15,42,0.357,14,21,0.667,12,30,42,21,7,5,15,20,24,55,0.43636363636363634,0
44,109,0.404,9,37,0.243,15,18,0.833,18,36,54,28,7,5,12,26,35,72,0.4861111111111111,0
42,108,0.389,17,50,0.34,14,23,0.609,20,44,64,27,6,7,14,17,25,58,0.43103448275862066,1
41,93,0.441,13,36,0.361,21,28,0.75,12,34,46,23,12,6,15,26,28,57,0.49122807017543857,1
37,80,0.463,12,28,0.429,22,28,0.786,8,38,46,21,6,2,19,24,25,52,0.4807692307692308,0
38,99,0.384,14,45,0.311,18,22,0.818,16,41,57,22,6,6,14,26,24,54,0.4444444444444444,0
39,94,0.415,10,38,0.263,27,33,0.818,14,41,55,25,6,5,14,21,29,56,0.5178571428571429,1
35,75,0.467,14,35,0.4,21,34,0.618,5,35,40,17,6,4,12,22,21,40,0.525,0
40,85,0.471,8,22,0.364,19,22,0.864,8,32,40,25,4,5,12,29,32,63,0.5079365079365079,1
39,88,0.443,11,28,0.393,26,33,0.788,11,33,44,20,11,2,11,17,28,60,0.4666666666666667,1
39,85,0.459,17,44,0.386,13,19,0.684,4,37,41,27,8,5,16,25,22,41,0.5365853658536586,0
48,94,0.511,13,29,0.448,20,23,0.87,14,37,51,26,7,10,15,20,35,65,0.5384615384615384,1
40,99,0.404,7,34,0.206,15,21,0.714,14,30,44,22,8,8,15,19,33,65,0.5076923076923077,0
38,77,0.494,10,28,0.357,19,23,0.826,6,32,38,25,5,5,17,21,28,49,0.5714285714285714,0
36,86,0.419,13,30,0.433,23,32,0.719,12,29,41,19,15,4,13,23,23,56,0.4107142857142857,1
40,83,0.482,5,22,0.227,17,18,0.944,10,25,35,21,10,3,21,23,35,61,0.5737704918032787,0
42,83,0.506,16,38,0.421,23,31,0.742,11,32,43,27,10,1,20,21,26,45,0.5777777777777777,1
37,80,0.463,9,29,0.31,20,31,0.645,10,48,58,18,7,7,23,24,28,51,0.5490196078431373,1
33,94,0.351,9,45,0.2,22,26,0.846,8,30,38,23,13,5,10,24,24,49,0.4897959183673469,0
34,84,0.405,13,42,0.31,9,14,0.643,7,41,48,24,4,6,14,16,21,42,0.5,1
36,83,0.434,5,24,0.208,11,13,0.846,6,38,44,17,6,5,10,14,31,59,0.5254237288135594,0
33,80,0.413,8,34,0.235,24,30,0.8,10,34,44,16,9,7,19,19,25,46,0.5434782608695652,0
40,89,0.449,13,31,0.419,15,16,0.938,9,37,46,26,10,2,17,22,27,58,0.46551724137931033,1
41,84,0.488,11,28,0.393,12,18,0.667,8,33,41,25,9,4,15,21,30,56,0.5357142857142857,0
38,80,0.475,13,35,0.371,20,29,0.69,13,31,44,26,3,13,13,19,25,45,0.5555555555555556,1
42,89,0.472,8,22,0.364,32,37,0.865,15,38,53,23,9,7,16,14,34,67,0.5074626865671642,1
44,97,0.454,13,34,0.382,11,14,0.786,11,26,37,30,9,4,14,24,31,63,0.49206349206349204,0
46,86,0.535,15,34,0.441,21,25,0.84,12,29,41,30,10,2,20,22,31,52,0.5961538461538461,1
42,88,0.477,15,44,0.341,24,27,0.889,7,28,35,34,10,3,19,23,27,44,0.6136363636363636,0
45,98,0.459,19,42,0.452,20,29,0.69,17,33,50,26,8,10,12,21,26,56,0.4642857142857143,1
44,93,0.473,16,35,0.457,18,30,0.6,13,32,45,18,4,6,14,22,28,58,0.4827586206896552,0
44,81,0.543,17,31,0.548,32,44,0.727,7,30,37,34,9,4,17,22,27,50,0.54,1
51,104,0.49,11,35,0.314,21,22,0.955,14,28,42,32,8,6,16,34,40,69,0.5797101449275363,0
41,79,0.519,14,33,0.424,15,15,1.0,12,31,43,17,4,11,20,23,27,46,0.5869565217391305,1
42,92,0.457,8,26,0.308,12,15,0.8,11,25,36,23,8,3,10,18,34,66,0.5151515151515151,0
49,111,0.441,20,50,0.4,14,21,0.667,19,35,54,39,11,8,13,23,29,61,0.47540983606557374,1
49,107,0.458,11,33,0.333,17,23,0.739,21,39,60,20,5,7,20,22,38,74,0.5135135135135135,0
39,90,0.433,9,36,0.25,19,32,0.594,13,36,49,26,6,2,15,21,30,54,0.5555555555555556,0
50,95,0.526,16,38,0.421,14,22,0.636,11,39,50,29,4,6,12,26,34,57,0.5964912280701754,1
43,94,0.457,10,27,0.37,15,21,0.714,9,32,41,31,14,1,17,29,33,67,0.4925373134328358,0
36,82,0.439,10,29,0.345,31,36,0.861,13,35,48,14,8,5,21,19,26,53,0.49056603773584906,1
33,79,0.418,7,27,0.259,27,33,0.818,10,28,38,19,8,3,13,15,26,52,0.5,0
41,80,0.513,10,26,0.385,10,11,0.909,5,34,39,26,8,8,17,22,31,54,0.5740740740740741,1
48,85,0.565,16,27,0.593,16,18,0.889,8,40,48,32,4,5,18,17,32,58,0.5517241379310345,1
34,84,0.405,7,29,0.241,21,25,0.84,10,25,35,19,12,7,10,19,27,55,0.4909090909090909,0
34,79,0.43,9,33,0.273,19,24,0.792,6,23,29,20,4,8,18,29,25,46,0.5434782608695652,0
45,90,0.5,17,39,0.436,30,36,0.833,15,37,52,23,7,7,15,24,28,51,0.5490196078431373,1
42,94,0.447,15,38,0.395,18,23,0.783,10,37,47,29,10,5,13,27,27,56,0.48214285714285715,0
42,85,0.494,20,38,0.526,18,31,0.581,9,37,46,33,5,6,18,21,22,47,0.46808510638297873,1
37,95,0.389,18,42,0.429,23,30,0.767,17,36,53,26,5,3,14,20,19,53,0.3584905660377358,0
45,103,0.437,16,42,0.381,18,24,0.75,20,39,59,28,7,15,11,21,29,61,0.47540983606557374,1
37,87,0.425,14,39,0.359,21,28,0.75,8,29,37,24,9,5,6,25,23,48,0.4791666666666667,0
38,76,0.5,11,30,0.367,25,27,0.926,6,38,44,28,2,2,16,26,27,46,0.5869565217391305,1
36,93,0.387,16,37,0.432,17,22,0.773,15,32,47,20,9,6,14,22,20,56,0.35714285714285715,0
48,85,0.565,16,31,0.516,13,21,0.619,8,39,47,29,6,10,16,22,32,54,0.5925925925925926,1
42,87,0.483,19,47,0.404,23,28,0.821,7,30,37,24,5,6,8,21,23,40,0.575,1
45,95,0.474,15,34,0.441,15,23,0.652,12,36,48,21,5,7,9,24,30,61,0.4918032786885246,0
43,89,0.483,16,38,0.421,12,15,0.8,12,31,43,27,5,7,14,20,27,51,0.5294117647058824,1
37,84,0.44,10,31,0.323,21,28,0.75,12,28,40,26,6,5,12,15,27,53,0.5094339622641509,0
41,81,0.506,9,22,0.409,20,22,0.909,5,35,40,24,8,3,13,21,32,59,0.5423728813559322,1
40,85,0.471,14,35,0.4,15,26,0.577,9,30,39,24,5,5,12,21,26,50,0.52,0
