fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,fg2,fga2,fg2_pct,result
41,93,0.441,14,39,0.359,25,30,0.833,9,41,50,30,9,2,17,18,27,54,0.5,1
45,95,0.474,15,42,0.357,9,19,0.474,5,40,45,21,7,4,18,25,30,53,0.566037736,0
37,84,0.44,17,32,0.531,13,23,0.565,5,39,44,19,3,9,13,17,20,52,0.384615385,0
48,105,0.457,17,45,0.378,14,18,0.778,13,41,54,25,8,9,8,19,31,60,0.516666667,1
42,90,0.467,17,47,0.362,21,24,0.875,8,43,51,29,2,10,17,24,25,43,0.581395349,0
46,107,0.43,13,31,0.419,18,27,0.667,12,34,46,29,9,5,8,21,33,76,0.434210526,1
37,86,0.43,7,23,0.304,13,15,0.867,9,39,48,18,8,5,17,19,30,63,0.476190476,1
36,90,0.4,6,28,0.214,10,13,0.769,11,36,47,17,7,5,17,16,30,62,0.483870968,0
47,93,0.505,14,38,0.368,13,18,0.722,7,29,36,38,6,5,11,17,33,55,0.6,0
53,100,0.53,14,33,0.424,12,12,1,13,40,53,28,8,8,12,15,39,67,0.582089552,1
40,88,0.455,11,33,0.333,15,22,0.682,12,29,41,21,13,3,24,25,29,55,0.527272727,0
42,87,0.483,16,38,0.421,24,31,0.774,13,33,46,26,18,12,18,22,26,49,0.530612245,1
44,85,0.518,13,25,0.52,16,20,0.8,6,41,47,24,9,5,13,11,31,60,0.516666667,1
39,93,0.419,13,30,0.433,6,9,0.667,10,34,44,28,5,6,14,16,26,63,0.412698413,0
48,117,0.41,21,57,0.368,17,23,0.739,15,41,56,34,13,9,18,24,27,60,0.45,0
51,105,0.486,17,45,0.378,19,27,0.704,7,48,55,27,9,10,19,22,34,60,0.566666667,1
44,83,0.53,17,39,0.436,5,9,0.556,6,40,46,25,9,1,19,20,27,44,0.613636364,1
36,87,0.414,14,37,0.378,12,17,0.706,11,34,45,23,9,3,18,18,22,50,0.44,0
