fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,fg2,fga2,fg2_pct,result
43,93,0.462,16,39,0.41,12,14,0.857,10,38,48,24,8,3,11,20,27,54,0.5,1
35,86,0.407,7,37,0.189,19,23,0.826,10,35,45,19,6,6,15,16,28,49,0.5714285714285714,0
43,90,0.478,14,39,0.359,8,10,0.8,10,38,48,34,10,6,17,18,29,51,0.5686274509803921,1
35,86,0.407,9,31,0.29,14,21,0.667,10,32,42,23,9,4,19,15,26,55,0.4727272727272727,0
29,78,0.372,7,33,0.212,18,25,0.72,5,36,41,20,10,2,16,24,22,45,0.4888888888888889,0
32,78,0.41,12,37,0.324,17,23,0.739,4,45,49,18,9,3,17,25,20,41,0.4878048780487805,1
37,76,0.487,13,35,0.371,19,21,0.905,8,29,37,24,1,4,17,20,24,41,0.5853658536585366,1
39,86,0.453,12,29,0.414,13,16,0.813,8,30,38,28,7,1,12,25,27,57,0.47368421052631576,0
39,83,0.47,8,31,0.258,7,14,0.5,7,37,44,20,12,11,21,20,31,52,0.5961538461538461,0
36,88,0.409,11,34,0.324,13,20,0.65,12,36,48,18,9,2,20,16,25,54,0.46296296296296297,1
40,92,0.435,20,43,0.465,23,30,0.767,8,43,51,23,11,3,10,27,20,49,0.40816326530612246,1
31,79,0.392,7,35,0.2,29,33,0.879,3,41,44,19,4,9,15,28,24,44,0.5454545454545454,0
38,87,0.437,6,26,0.231,14,20,0.7,6,36,42,18,10,6,21,21,32,61,0.5245901639344263,0
42,85,0.494,22,45,0.489,20,30,0.667,5,39,44,27,16,6,17,19,20,40,0.5,1
49,89,0.551,16,33,0.485,16,21,0.762,8,35,43,35,9,3,16,19,33,56,0.5892857142857143,1
42,88,0.477,13,36,0.361,12,21,0.571,11,32,43,17,9,3,20,22,29,52,0.5576923076923077,0
41,101,0.406,14,33,0.424,13,16,0.813,16,42,58,27,8,7,13,20,27,68,0.39705882352941174,1
36,85,0.424,13,34,0.382,18,26,0.692,8,37,45,23,3,8,13,20,23,51,0.45098039215686275,0
33,85,0.388,13,33,0.394,21,24,0.875,12,31,43,19,6,8,10,16,20,52,0.38461538461538464,0
41,89,0.461,15,42,0.357,9,14,0.643,13,33,46,28,3,3,14,20,26,47,0.5531914893617021,1
38,91,0.418,7,29,0.241,13,17,0.765,15,31,46,19,10,2,15,21,31,62,0.5,1
35,85,0.412,11,32,0.344,10,19,0.526,15,33,48,22,9,5,22,20,24,53,0.4528301886792453,0
35,90,0.389,9,28,0.321,15,21,0.714,14,33,47,11,5,4,15,21,26,62,0.41935483870967744,0
36,81,0.444,13,41,0.317,17,23,0.739,6,42,48,15,10,10,14,22,23,40,0.575,1
42,83,0.506,12,27,0.444,10,13,0.769,10,41,51,23,4,3,16,16,30,56,0.5357142857142857,1
34,84,0.405,19,50,0.38,15,18,0.833,5,27,32,22,6,4,9,21,15,34,0.4411764705882353,0
38,91,0.418,14,48,0.292,26,27,0.963,10,30,40,21,6,4,10,29,24,43,0.5581395348837209,0
35,83,0.422,14,38,0.368,36,47,0.766,14,36,50,26,6,7,13,18,21,45,0.4666666666666667,1
38,86,0.442,13,41,0.317,19,21,0.905,6,46,52,22,5,5,12,17,25,45,0.5555555555555556,1
40,108,0.37,10,38,0.263,9,12,0.75,15,40,55,21,7,1,6,18,30,70,0.42857142857142855,0
38,92,0.413,13,35,0.371,23,26,0.885,14,26,40,34,15,5,12,18,25,57,0.43859649122807015,0
47,79,0.595,16,35,0.457,17,24,0.708,7,38,45,35,10,7,22,17,31,44,0.7045454545454546,1
43,104,0.413,12,33,0.364,25,34,0.735,13,36,49,27,9,3,7,22,31,71,0.43661971830985913,1
40,81,0.494,14,32,0.438,28,31,0.903,7,44,51,25,5,9,20,24,26,49,0.5306122448979592,0
39,89,0.438,11,42,0.262,19,27,0.704,11,30,41,23,6,4,15,27,28,47,0.5957446808510638,0
39,85,0.459,13,37,0.351,27,30,0.9,11,37,48,16,11,2,16,24,26,48,0.5416666666666666,1
49,87,0.563,15,33,0.455,9,13,0.692,12,29,41,35,4,5,18,22,34,54,0.6296296296296297,1
41,86,0.477,16,36,0.444,22,25,0.88,8,25,33,29,8,7,10,16,25,50,0.5,0
41,98,0.418,14,43,0.326,26,33,0.788,12,28,40,16,7,2,12,27,27,55,0.4909090909090909,0
49,88,0.557,13,34,0.382,26,34,0.765,11,42,53,23,4,7,15,24,36,54,0.6666666666666666,1
41,89,0.461,12,35,0.343,14,19,0.737,12,37,49,24,9,5,10,15,29,54,0.5370370370370371,1
39,95,0.411,9,33,0.273,7,8,0.875,14,36,50,23,6,3,13,18,30,62,0.4838709677419355,0
45,92,0.489,19,45,0.422,15,21,0.714,13,30,43,34,6,4,15,11,26,47,0.5531914893617021,1
44,85,0.518,10,31,0.323,11,16,0.688,9,27,36,30,11,6,14,17,34,54,0.6296296296296297,0
40,83,0.482,17,29,0.586,15,19,0.789,8,29,37,24,5,2,10,22,23,54,0.42592592592592593,1
37,75,0.493,10,33,0.303,23,28,0.821,7,33,40,23,4,3,14,22,27,42,0.6428571428571429,0
49,89,0.551,21,41,0.512,11,19,0.579,9,48,57,29,4,11,20,18,28,48,0.5833333333333334,1
44,105,0.419,6,19,0.316,15,21,0.714,14,31,45,23,13,4,7,16,38,86,0.4418604651162791,0
43,85,0.506,7,21,0.333,20,25,0.8,11,34,45,26,9,6,16,21,36,64,0.5625,1
40,87,0.46,10,31,0.323,18,23,0.783,10,30,40,24,4,2,13,21,30,56,0.5357142857142857,0
34,90,0.378,10,35,0.286,28,39,0.718,11,41,52,20,5,6,15,20,24,55,0.43636363636363634,0
51,97,0.526,23,43,0.535,12,14,0.857,3,45,48,41,4,6,11,28,28,54,0.5185185185185185,1
39,82,0.476,16,39,0.41,19,20,0.95,10,41,51,24,4,3,18,31,23,43,0.5348837209302325,1
30,77,0.39,11,40,0.275,29,36,0.806,7,28,35,17,5,4,12,19,19,37,0.5135135135135135,0
29,79,0.367,13,48,0.271,19,27,0.704,6,32,38,20,6,4,18,15,16,31,0.5161290322580645,0
46,81,0.568,16,34,0.471,10,18,0.556,4,43,47,34,7,0,16,20,30,47,0.6382978723404256,1
43,98,0.439,17,40,0.425,12,12,1.0,6,25,31,27,9,5,9,17,26,58,0.4482758620689655,0
49,85,0.576,14,34,0.412,13,16,0.813,7,42,49,32,6,4,19,18,35,51,0.6862745098039216,1
45,93,0.484,19,45,0.422,9,13,0.692,5,37,42,32,10,8,14,27,26,48,0.5416666666666666,1
44,101,0.436,9,27,0.333,19,24,0.792,16,41,57,26,5,4,18,20,35,74,0.47297297297297297,0
33,85,0.388,10,28,0.357,7,12,0.583,9,26,35,20,12,4,16,14,23,57,0.40350877192982454,0
38,88,0.432,15,34,0.441,12,13,0.923,18,36,54,22,9,7,21,15,23,54,0.42592592592592593,1
36,86,0.419,13,39,0.333,16,22,0.727,8,39,47,30,4,4,17,24,23,47,0.48936170212765956,0
46,95,0.484,11,32,0.344,15,23,0.652,14,41,55,34,7,5,10,21,35,63,0.5555555555555556,1
41,84,0.488,15,29,0.517,29,34,0.853,12,44,56,19,3,9,20,29,26,55,0.4727272727272727,1
36,90,0.4,13,37,0.351,29,38,0.763,8,29,37,20,13,4,10,26,23,53,0.4339622641509434,0
33,86,0.384,11,34,0.324,19,27,0.704,9,32,41,17,6,3,15,18,22,52,0.4230769230769231,0
52,93,0.559,14,36,0.389,12,16,0.75,8,43,51,31,11,5,13,22,38,57,0.6666666666666666,1
42,91,0.462,11,34,0.324,21,27,0.778,10,32,42,24,8,4,14,31,31,57,0.543859649122807,0
41,79,0.519,8,25,0.32,33,45,0.733,10,32,42,22,9,2,16,27,33,54,0.6111111111111112,1
44,96,0.458,20,40,0.5,8,11,0.727,11,33,44,23,9,3,11,13,24,56,0.42857142857142855,1
43,86,0.5,15,35,0.429,12,13,0.923,7,38,45,29,6,7,13,16,28,51,0.5490196078431373,0
